semester,course_code,subject,module,part,link
2,20MCA104,Advanced Computer Networks,4,1,https://drive.google.com/file/d/1p_pOexYAzSu9WO0v6Ff4XtrknKiLFyUt/view?usp=drive_link
2,20MCA104,Advanced Computer Networks,4,2,https://drive.google.com/file/d/18SAgJhob7YMnfoFPJOIfd5dGgp-w8-yB/view?usp=drive_link
2,20MCA104,Advanced Computer Networks,5,1,https://drive.google.com/file/d/1rx_dftXXX1Tu6CYndqzIfwnrZfHhhIxC/view?usp=drive_link


semester,course_code,subject,module,part,link
2,20MCA188,Artificial Intelligence,1,1,https://drive.google.com/file/d/1D00BZ752JeYD21ENUbLGWRjGR6D0A2IV/view?usp=drive_link
2,20MCA188,Artificial Intelligence,2,2,https://drive.google.com/file/d/1sXBo4vPS6Ql5Do7BktXdhi2PsVM2vMWo/view?usp=drive_link
2,20MCA188,Artificial Intelligence,3,1,https://drive.google.com/file/d/10zOt6BBD3N5ptzvuRf7ritLge1jTRgmc/view?usp=drive_link
2,20MCA188,Artificial Intelligence,4,1,https://drive.google.com/file/d/1C-zEwXw5qINy9v8tXkarhXCzQIhByk5L/view?usp=drive_link
2,20MCA188,Artificial Intelligence,4,2,https://drive.google.com/file/d/1CUrcjaH2qz-StC8pefpqLk4Y8Qg8AXep/view?usp=drive_link
2,20MCA188,Artificial Intelligence,4,3,https://drive.google.com/file/d/1UWn70-0K7f3sPRR4LtIR9ZCee1e49dJO/view?usp=drive_link
2,20MCA188,Artificial Intelligence,4,4,https://drive.google.com/file/d/1WJKEGhnoenOnYh2gbTj0JSL70dxAf73n/view?usp=drive_link
2,20MCA188,Artificial Intelligence,4,5,https://drive.google.com/file/d/1lRxXyrY0O2uYL-uGLJk6wgGARa-FhVmz/view?usp=drive_link
2,20MCA188,Artificial Intelligence,5,1,https://drive.google.com/file/d/188rlDKmOmTB_HWUcRA6WVpg2nBYpU6Wg/view?usp=drive_link
2,20MCA188,Artificial Intelligence,5,2,https://drive.google.com/file/d/1nzyzoR7XSsWwEvS5PeoHXgstlShNbjWd/view?usp=drive_link

